id,abbrev,state,capital,latitude,longitude,population
1,AL,Alabama,Montgomery,32.380120,-86.300629,205764, Alabama workers built the first rocket to put humans on the moon
2,AK,Alaska,Juneau,58.299740,-134.406794,31275, In 1867 United States Secretary of State William H. Seward offered Russia $7.200.000 or two cents per acre for Alaska.
3,AZ,Arizona,Phoenix,33.448260,-112.075774,1445632, "The Arizona trout is found only in the Arizona."
4,AR,Arkansas,Little Rock,34.748655,-92.274494,193524, "The state contains six national park sites; two-and-a half million acres of national forests, seven national scenic byways; three state scenic byways and 50 state parks."
5,CA,California,Sacramento,38.579065,-121.491014,466488, "California's Mount Whitney measures as the highest peak in the lower 48 states. Its most famous climb is Mount Whitney Trail to the 14495 feet summit. Wilderness permits are required."
6,CO,Colorado,Denver,39.740010,-104.992259,600158, "Colorado is the only state in history to turn down the Olympics. In 1976 the Winter Olympics were planned to be held in Denver. 62% of all state Voters choose at almost the last minute not to host the Olympics because of the cost pollution and population boom it would have on the State Of Colorado and the City of Denver."
7,CT,Connecticut,Hartford,41.763325,-72.674069,124775, "Connecticut and Rhode Island never ratified the 18th Amendment (Prohibition)."
8,DE,Delaware,Dover,39.158035,-75.524734,36047, "Delaware was the first state to ratify the United States constitution. It did so on December 7 1787."
9,FL,Florida,Tallahassee,30.439775,-84.280649,181376, "Orlando attracts more visitors than any other amusement park destination in the United States."
10,GA,Georgia,Atlanta,33.748315,-84.391109,420003, "The pirate Edward "Blackbeard" Teach made a home on Blackbeard Island. The United States Congress designated the Blackbeard Island Wilderness Area in 1975 and it now has a total of 3,000 acres."
11,HI,Hawaii,Honolulu,21.304770,-157.857614,337256, "Hawaii is the most isolated population center on the face of the earth. Hawaii is 2390 miles from California; 3,850 miles from Japan; 4900 miles from China; and 5280 miles from the Philippines."
12,ID,Idaho,Boise,43.606980,-116.193409,205671, "In Idaho law forbids a citizen to give another citizen a box of candy that weighs more than 50 pounds."
13,IL,Illinois,Springfield,39.801055,-89.643604,116250, "The world's first Skyscraper was built in Chicago 1885."
14,IN,Indiana,Indianapolis,39.766910,-86.149964,820445, "During WWII the P-47 fighter-plane was manufactured in Evansville at Republic Aviation."
15,IA,Iowa,Des Moines,41.589790,-93.615659,203433, "Strawberry Point is the home of the world's largest strawberry."
16,KS,Kansas,Topeka,39.049285,-95.671184,127473, "A grain elevator in Hutchinson is 1/2 mile long and holds 46 million bushels in its 1000 bins."
17,KY,Kentucky,Frankfort,38.195070,-84.878694,25527, "The Kentucky Derby is the oldest continuously held horse race in the country. It is held at Churchill Downs in Louisville on the first Saturday in May."
18,LA,Louisiana,Baton Rouge,30.443345,-91.186994,229493, "The world famous "Mardi Gras" is celebrated in New Orleans. Mardi Gras is an ancient custom that originated in southern Europe. It celebrates food and fun just before the 40 days of Lent: a Catholic time of prayer and sacrifice."
19,ME,Maine,Augusta,44.318036,-69.776218,19136, "Eastport is the most eastern city in the United States. The city is considered the first place in the United States to receive the rays of the morning sun."
20,MD,Maryland,Annapolis,38.976700,-76.489934,38394, "The United States Naval Academy was founded on October 10, 1845 at Annapolis."
21,MA,Massachusetts,Boston,42.358635,-71.056699,617594,"Norfolk County is the birthplace of four United States presidents: John Adams John Quincy Adams John Fitzgerald Kennedy and George Herbert Walker Bush."
22,MI,Michigan,Lansing,42.731940,-84.552249,114297, "Detroit is known as the car capital of the world."
23,MN,Minnesota,Saint Paul,44.943829,-93.093326,285068, "The Mall of America in Bloomington is the size of 78 football fields --- 9.5 million square feet."
24,MS,Mississippi,Jackson,32.298690,-90.180489,173514, "The world's largest shrimp is on display at the Old Spanish Fort Museum in Pascagoula."
25,MO,Missouri,Jefferson City,38.577515,-92.177839,43079, "Missouri is known as the "Show Me State"."
26,MT,Montana,Helana,46.589760,-112.021202,28190, "The average square mile of land contains 1.4 elk 1.4 pronghorn antelope and 3.3 deer."
27,NE,Nebraska,Lincoln,40.813620,-96.707739,258379, "Nebraska is the birthplace of the Reuben sandwich."
28,NV,Nevada,Carson City,39.164885,-119.766999,55274, "There were 16067 slots in Nevada in 1960. In 1999 Nevada had 205726 slot machines one for every 10 residents."
29,NH,New Hampshire,Concord,43.207250,-71.536604,42695, "Of the thirteen original colonies New Hampshire was the first to declare its independence from Mother England -- a full six months before the Declaration of Independence was signed."
30,NJ,New Jersey,Trenton,40.217875,-74.759404,84913, "Worst state ever"
31,NM,New Mexico,Santa Fe,35.691543,-105.937406,67947, "Santa Fe is the highest capital city in the United States at 7000 feet above sea level."
32,NY,New York,Albany,42.651445,-73.755254,97856, "The Fashion Institute of Technology in Manhattan is the only school in the world offering a Bachelor of Science Degree with a Major in Cosmetics and Fragrance Marketing."
33,NC,North Carolina,Raleigh,35.785510,-78.642669,403892, "Cape Hatteras is the largest lighthouse ever to be moved due to erosion problems."
34,ND,North Dakota,Bismarck,46.805372,-100.779334,61272, "The town of Rugby is the geographical center of North America. A rock obelisk about 15 feet tall flanked by poles flying the United States and Canadian flags marks the location."
35,OH,Ohio,Columbus,39.961960,-83.002984,787033, "Cleveland boasts America's first traffic light. It began on Aug. 5 1914."
36,OK,Oklahoma,Oklahoma City,35.472015,-97.520354,579999, "During a tornado in Ponca City a man and his wife were carried aloft in their house by a tornado. The walls and roof were blown away. But the floor remained intact and eventually glided downward setting the couple safely back on the ground."
37,OR,Oregon,Salem,44.933260,-123.043814,154637, "Oregon and New Jersey are the only states without self-serve gas stations."
38,PA,Pennsylvania,Harrisburg,40.259865,-76.882230,49528, "Pennsylvania is the first state of the fifty United States to list their web site URL on a license plate."   "Hershey is considered the Chocolate Capital of the United States."   "In 1946 Philadelphia became home to the first computer."
39,RI,Rhode Island,Providence,41.823875,-71.411994,178042, "Rhode Island is the smallest state in size in the United States. It covers an area of 1214 square miles. Its distances North to South are 48 miles and East to West 37 miles."
40,SC,South Carolina,Columbia,33.998550,-81.045249,129272, "The walls of the American fort on Sullivan Island in Charleston Harbor were made of spongy Palmetto logs. This was helpful in protecting the fort because the British cannonballs bounced off the logs."
41,SD,South Dakota,Pierre,44.368924,-100.350158,13646, "The faces of George Washington Thomas Jefferson Theodore Roosevelt and Abraham Lincoln are sculpted into Mount Rushmore the world's greatest mountain carving."
42,TN,Tennessee,Nashville,36.167783,-86.778365,601222, "There were more National Guard soldiers deployed from the state for the Gulf War effort than any other state."
43,TX,Texas,Austin,30.267605,-97.742984,790390, "The King Ranch in Texas is bigger than the state of Rhode Island."
44,UT,Utah,Salt Lake City,40.759505,-111.888229,186440, "Utah is the site of the nations first department store. Zions Co-operative Mercantile Institution was established in the late 1800's. It is still in operation today as ZCMI."
45,VT,Vermont,Montpelier,44.260299,-72.576264,7855, "With a population of fewer than nine thousand people Montpelier Vermont is the smallest state capital in the U.S."
46,VA,Virginia,Richmond,37.540700,-77.433654,204214, "Jamestown was the first English settlement in the U.S. It was also the first capital of Virginia."
47,WA,Washington,Olympia,47.039231,-122.891366,46478, "Everett is the site of the world's largest building Boeing's final assembly plant"
48,WV,West Virginia,Charleston,38.350195,-81.638989,51400, "West Virginia is considered the southern most northern state and the northern most southern state."
49,WI,Wisconsin,Madison,43.072950,-89.386694,233209, "Wisconsin's Door County has five state parks and 250 miles of shoreline along Lake Michigan. These figures represent more than any other county in the country."
50,WY,Wyoming,Cheyenne,41.134815,-104.821544,59466, "Wyoming has the lowest population of all 50 United States."
